
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 
Claves: Machote -> fila,columna down left si la clave es nula poner un -
0,1 1-9 -

0,2 40 -

0,8 1-9 -

0,10 1-9 -

0,11 1-9 -

1,0 - 6

1,7 - 1-9

1,9 - 8

1,13 1-9 -

2,1 - 1-9

2,5 1-9 -

2,12 28 1-9

3,1 15 1-9

3,4 - 1-9

3,6 13 -

3,9 1-9 -

3,10 7 -

3,11 - 1-9

4,0 - 10

4,3 1-9 -

4,5 - 1-9

4,8 - 11

4,11 - 1-9

5,0 - 18

5,5 - 1-9

5,7 14 -

5,9 - 1-9

5,11 - 1-9

5,13 1-9 -

6,1 - 1-9

6,4 17 -

6,5 1-9 -

6,6 - 1-9

6,11 - 8

7,1 - 1-9

7,3 - 10

7,6 15 1-9

7,10 1-9 -

8,3 - 1-9

8,5 1-9 1-9

8,8 1-9 -

8,9 - 1-9

8,12 1-9 -

9,1 1-9 -

9,4 1-9 11

9,7 - 1-9

9,9 1-9 -

9,11 7 1-9

10,0 - 1-9

10,2 15 -

10,3 1-9 1-9

10,5 9 -

10,8 1-9 1-9

10,10 - 1-9

10,12 5 -

10,13 22 -

11,1 - 8

11,4 - 1-9

11,7 - 1-9

11,9 1-9 -

11,10 - 18

12,1 - 1-9

12,4 1-9 1-9

12,7 1-9 -

12,8 - 1-9

12,11 - 6

13,1 - 1-9

13,3 - 7

13,6 - 1-9

13,12 - 1-9

