
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 
--------------------------------------------------------
 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 
--------------------------------------------------------
 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 
Claves: Machote -> fila,columna down left si la clave es nula poner un -
0,1 22 -

0,4 13 -

0,6 1-9 -

0,7 1-9 -

1,0 - 1-9

1,3 - 1-9

1,5 - 9

1,10 1-9 -

2,0 - 1-9

2,2 1-9 -

2,3 1-9 1-9

2,7 14 -

2,9 1-9 1-9

2,11 1-9 -

2,13 1-9 -

3,0 - 19

3,5 1-9 -

3,6 - 1-9

3,8 - 1-9

3,10 - 1-9

3,12 1-9 1-9

4,2 1-9 -

4,4 10 1-9

4,6 1-9 1-9

4,11 - 1-9

4,13 1-9 -

5,1 - 1-9

5,3 - 1-9

5,5 - 1-9

5,8 10 -

5,10 1-9 -

5,12 - 1-9

6,3 1-9 1-9

6,5 1-9 -

6,6 1-9 -

6,7 1-9 1-9

6,9 - 1-9

6,11 1-9 -

7,2 - 1-9

7,4 1-9 15

7,10 1-9 1-9

7,12 17 -

7,13 1-9 -

8,3 1-9 1-9

8,5 1-9 -

8,7 1-9 -

8,8 1-9 -

8,9 - 1-9

8,11 - 7

9,1 1-9 -

9,2 - 1-9

9,4 1-9 1-9

9,6 - 3

9,11 - 1-9

10,0 - 1-9

10,3 15 1-9

10,5 1-9 -

10,7 1-9 -

10,10 1-9 -

10,11 1-9 1-9

10,13 1-9 -

11,1 1-9 -

11,2 - 1-9

11,4 14 1-9

11,6 - 1-9

11,9 - 8

11,12 1-9 1-9

12,0 - 1-9

12,2 - 11

12,5 1-9 -

12,8 1-9 -

12,10 1-9 -

12,11 1-9 1-9

13,3 - 12

13,7 - 1-9

13,9 - 4

