
--------------------------------------------------------
 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 
--------------------------------------------------------
 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 
--------------------------------------------------------
 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 
--------------------------------------------------------
 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 
--------------------------------------------------------
 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
--------------------------------------------------------
 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 
--------------------------------------------------------
 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
--------------------------------------------------------
 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 
Claves: Machote -> fila,columna down left si la clave es nula poner un -
0,4 12 -

0,5 1-9 -

0,10 1-9 -

0,12 17 -

1,1 1-9 -

1,3 - 5

1,6 1-9 -

1,9 1-9 1-9

1,11 - 1-9

2,0 - 1-9

2,2 1-9 -

2,3 - 1-9

2,5 1-9 1-9

2,8 - 1-9

2,11 - 1-9

2,13 1-9 -

3,1 - 1-9

3,3 - 8

3,11 - 7

4,1 1-9 -

4,3 - 1-9

4,5 5 -

4,6 1-9 -

4,7 14 -

4,9 1-9 -

4,10 1-9 -

5,0 - 1-9

5,2 4 -

5,3 1-9 -

5,4 - 15

5,8 - 9

5,11 20 -

5,13 24 -

6,1 - 4

6,4 - 1-9

6,6 - 1-9

6,10 - 1-9

6,12 - 1-9

7,1 - 1-9

7,4 1-9 -

7,5 1-9 -

7,6 - 1-9

7,10 - 1-9

7,12 - 1-9

8,1 15 -

8,2 6 -

8,3 - 10

8,6 4 -

8,10 1-9 1-9

8,12 - 1-9

9,0 - 4

9,5 - 1-9

9,7 1-9 -

9,9 - 9

10,0 - 7

10,4 13 -

10,5 - 5

10,10 - 1-9

10,13 1-9 -

11,0 - 1-9

11,3 - 1-9

11,5 1-9 -

11,6 1-9 -

11,9 1-9 -

11,11 1-9 -

11,12 - 1-9

12,0 - 1-9

12,3 1-9 9

12,8 - 1-9

12,10 - 1-9

12,13 1-9 -

13,0 - 1-9

13,2 - 13

13,12 - 1-9

